"sample","outcome_label","outcome_value","prediction","prob0","prob1","biomarkers"
"contact217","stoolneg",1,1,0.440739657749372,0.559260342250628,"Ogvctiter2_new_titers"
"contact219","stoolneg",1,1,0.284545045730843,0.715454954269157,"Ogvctiter2_new_titers"
"contact219","stoolneg",1,0,0.564132415224096,0.435867584775904,"vibogaw"
"contact220","stoolneg",1,1,0.363732421903863,0.636267578096138,"vibogaw"
"contact220","stoolneg",1,1,0.266764611850138,0.733235388149862,"Ogvctiter2_new_titers"
"contact221","stoolneg",0,1,0.20397123481094,0.79602876518906,"Ogvctiter2_new_titers"
"contact221","stoolneg",0,1,0.35754127416701,0.64245872583299,"vibogaw"
"contact222","stoolneg",0,1,0.488446000086945,0.511553999913054,"vibogaw"
"contact222","stoolneg",0,1,0.207240730378153,0.792759269621847,"Ogvctiter2_new_titers"
"contact223","stoolneg",1,0,0.599461674758851,0.400538325241149,"vibogaw"
"contact223","stoolneg",1,1,0.432619262033117,0.567380737966883,"Ogvctiter2_new_titers"
"contact224","stoolneg",1,1,0.329337107697943,0.670662892302057,"Ogvctiter2_new_titers"
"contact224","stoolneg",1,1,0.434831259371004,0.565168740628995,"vibogaw"
"contact225","stoolneg",1,1,0.483277074580907,0.516722925419094,"Ogvctiter2_new_titers"
"contact225","stoolneg",1,1,0.369674793923826,0.630325206076174,"vibogaw"
"contact227","stoolneg",1,1,0.34069104191732,0.659308958082681,"vibogaw"
"contact227","stoolneg",1,1,0.433990699337643,0.566009300662357,"Ogvctiter2_new_titers"
"contact228","stoolneg",0,1,0.256369482989491,0.743630517010508,"vibogaw"
"contact228","stoolneg",0,1,0.331813952005168,0.668186047994832,"Ogvctiter2_new_titers"
"contact87","stoolneg",0,1,0.265925310173143,0.734074689826856,"vibogaw"
"contact87","stoolneg",0,1,0.441832516911195,0.558167483088805,"Ogvctiter2_new_titers"
"contact229","stoolneg",1,1,0.397432321368003,0.602567678631997,"vibogaw"
"contact229","stoolneg",1,1,0.438683185489263,0.561316814510737,"Ogvctiter2_new_titers"
"contact230","stoolneg",1,1,0.398852610491504,0.601147389508496,"vibogaw"
"contact230","stoolneg",1,1,0.420716367125308,0.579283632874692,"Ogvctiter2_new_titers"
"contact231","stoolneg",1,0,0.502204297701783,0.497795702298216,"Ogvctiter2_new_titers"
"contact231","stoolneg",1,0,0.615574198887629,0.384425801112371,"vibogaw"
"contact232","stoolneg",1,1,0.324357936327519,0.675642063672481,"Ogvctiter2_new_titers"
"contact232","stoolneg",1,1,0.179465259619981,0.820534740380019,"vibogaw"
"contact233","stoolneg",1,1,0.443417157910889,0.556582842089111,"Ogvctiter2_new_titers"
"contact233","stoolneg",1,1,0.384109467471813,0.615890532528187,"vibogaw"
"contact88","stoolneg",1,0,0.618474005432133,0.381525994567867,"Ogvctiter2_new_titers"
"contact88","stoolneg",1,1,0.444218277121916,0.555781722878084,"vibogaw"
"contact234","stoolneg",1,1,0.384913604399557,0.615086395600443,"vibogaw"
"contact234","stoolneg",1,0,0.608247442757622,0.391752557242379,"Ogvctiter2_new_titers"
"contact235","stoolneg",1,1,0.409383257965805,0.590616742034195,"vibogaw"
"contact235","stoolneg",1,1,0.230455071699886,0.769544928300114,"Ogvctiter2_new_titers"
"contact236","stoolneg",1,0,0.580099709084347,0.419900290915653,"Ogvctiter2_new_titers"
"contact236","stoolneg",1,1,0.469645820205767,0.530354179794233,"vibogaw"
"contact237","stoolneg",1,0,0.61632603349523,0.38367396650477,"vibogaw"
